,corp_code,corp_name,stock_code
1594,01309388,LS티라유텍,322180
1595,00525642,코오롱생명과학,102940
1596,00540571,엘디티,096870
1597,00541163,이엠텍,091120
1598,00569691,디엔에프,092070
1599,00572905,ISC,095340
1600,00611736,엑시콘,092870
1601,00327396,옵트론텍,082210
1602,00127875,삼익제약,014950
1603,00100601,강원에너지,114190
1604,01096341,넥슨게임즈,225570
1605,00959210,코츠테크놀로지,448710
1606,01596920,알지노믹스,476830
1607,01416235,고스트스튜디오,950190
1608,01803635,에스투더블유,488280
1609,00583026,멤레이비티,072770
1610,00989619,알테오젠,196170
1611,01207761,프로브잇,227100
1612,01456011,디어유,376300
1613,01627363,세미파이브,490470
1614,00125664,삼미금속,012210
1615,01958111,메리츠제1호스팩,0088D0
1616,01135084,에스와이스틸텍,365330
1617,00531829,엠아이텍,179290
1618,00190756,와이엔텍,067900
1619,00301246,SFA반도체,036540
1620,00358271,에스에프에이,056190
1621,00362122,나래나노텍,137080
1622,01351080,지아이이노베이션,358570
1623,00231691,판타지오,032800
1624,00579999,고영,098460
1625,01963140,신한제18호스팩,0129K0
1626,00615723,알엔티엑스,123010
1627,01130849,파라택시스이더리움,290560
1628,00176835,NH농우바이오,054050
1629,00513948,녹십자엠에스,142280
1630,01802928,코스모로보틱스,439960
1631,00323868,웹케시,053580
1632,01061327,클래시스,214150
1633,00250614,삼영엠텍,054540
1634,00268002,세종텔레콤,036630
1635,00317487,티에스넥스젠,043220
1636,01062177,제놀루션,225220
1637,01396676,일승,333430
1638,00494546,오비고,352910
1639,00116408,동신건설,025950
1640,00442561,에프알텍,073540
1641,00142713,형지I&C,011080
1642,00657224,아이스크림미디어,461300
1643,00965318,이노시뮬레이션,274400
1644,01267958,프로티아,303360
1645,00264635,에스넷,038680
1646,00390408,인크레더블버즈,064090
1647,01199727,샘씨엔에스,252990
1648,01218299,에코아이,448280
1649,01286476,RF시스템즈,474610
1650,01405451,알체라,347860
1651,01780608,메쥬,0088M0
1652,00116426,이렘,009730
1653,00349811,오션인더블유,052300
1654,00187415,코미팜,041960
1655,00606664,케이엔더블유,105330
1656,00128546,삼천당제약,000250
1657,01051092,피씨엘,241820
1658,00238782,다우데이타,032190
1659,00364254,알티캐스트,085810
1660,00867478,아시아종묘,154030
1661,01381805,아로마티카,0015N0
1662,01516933,덕양에너젠,0001A0
1663,00357430,쎌바이오텍,049960
1664,00130587,서울전자통신,027040
1665,00188973,화일약품,061250
1666,00205687,더라미,032860
1667,00243067,부방,014470
1668,00131018,서울제약,018680
1669,01160363,에코프로비엠,247540
1670,01884065,디비금융제14호스팩,0004Y0
1671,01906552,엘에스스팩1호,0041J0
1672,00149594,한국캐피탈,023760
1673,01336443,디와이씨,310870
1674,01108248,지노믹트리,228760
1675,01657197,바이오비쥬,489460
